Date,Game Title,Category,Units Sold,Price (£),Total Revenue (£)
01/01/2024,Rocket League,Sports,11,46.12,507.32
02/01/2024,Minecraft,Sandbox,40,53.5,2140.0
03/01/2024,Apex Legends,Shooter,28,30.27,847.56
04/01/2024,Overwatch 3,Shooter,18,69.1,1243.8
05/01/2024,Minecraft,Sandbox,8,32.21,257.68
06/01/2024,Minecraft,Sandbox,28,24.25,679.0
07/01/2024,Fortnite,Battle Royale,28,24.66,690.48
08/01/2024,GTA VI,Adventure,4,46.67,186.68
09/01/2024,GTA VI,Adventure,31,64.36,1995.16
10/01/2024,F1 26,Racing,39,52.05,2029.95
11/01/2024,Overwatch 3,Shooter,30,44.83,1344.9
12/01/2024,F1 26,Racing,28,44.71,1251.88
13/01/2024,Overwatch 3,Shooter,33,34.43,1136.19
14/01/2024,Fortnite,Battle Royale,35,26.29,920.15
15/01/2024,GTA VI,Adventure,18,26.32,473.76
16/01/2024,Elden Ring,RPG,16,47.66,762.56
17/01/2024,GTA VI,Adventure,25,62.29,1557.25
18/01/2024,Minecraft,Sandbox,36,39.84,1434.24
19/01/2024,COD MW4,Shooter,44,33.86,1489.84
20/01/2024,Rocket League,Sports,28,26.09,730.52
21/01/2024,GTA VI,Adventure,1,42.83,42.83
22/01/2024,GTA VI,Adventure,22,20.08,441.76
23/01/2024,Rocket League,Sports,37,37.52,1388.24
24/01/2024,Rocket League,Sports,34,61.61,2094.74
25/01/2024,Apex Legends,Shooter,35,41.16,1440.6
26/01/2024,F1 26,Racing,8,28.5,228.0
27/01/2024,F1 26,Racing,15,60.1,901.5
28/01/2024,Overwatch 3,Shooter,29,31.58,915.82
29/01/2024,Overwatch 3,Shooter,36,54.6,1965.6
30/01/2024,F1 26,Racing,50,52.27,2613.5
31/01/2024,FIFA 26,Sports,11,55.09,605.99
01/02/2024,GTA VI,Adventure,32,63.57,2034.24
02/02/2024,Apex Legends,Shooter,23,42.54,978.42
03/02/2024,Elden Ring,RPG,25,66.13,1653.25
04/02/2024,Elden Ring,RPG,24,37.28,894.72
05/02/2024,Minecraft,Sandbox,29,28.42,824.18
06/02/2024,Fortnite,Battle Royale,32,42.49,1359.68
07/02/2024,Fortnite,Battle Royale,3,32.63,97.89
08/02/2024,Minecraft,Sandbox,3,25.77,77.31
09/02/2024,F1 26,Racing,26,33.5,871.0
10/02/2024,Fortnite,Battle Royale,16,63.15,1010.4
11/02/2024,FIFA 26,Sports,40,42.64,1705.6
12/02/2024,Elden Ring,RPG,45,49.72,2237.4
13/02/2024,Minecraft,Sandbox,40,62.92,2516.8
14/02/2024,GTA VI,Adventure,16,32.07,513.12
15/02/2024,FIFA 26,Sports,44,24.4,1073.6
16/02/2024,GTA VI,Adventure,29,54.47,1579.63
17/02/2024,Overwatch 3,Shooter,5,40.92,204.6
18/02/2024,FIFA 26,Sports,24,63.86,1532.64
19/02/2024,Rocket League,Sports,45,61.1,2749.5
20/02/2024,Fortnite,Battle Royale,24,49.89,1197.36
21/02/2024,FIFA 26,Sports,5,65.0,325.0
22/02/2024,COD MW4,Shooter,10,47.03,470.3
23/02/2024,Fortnite,Battle Royale,31,20.92,648.52
24/02/2024,Elden Ring,RPG,39,53.3,2078.7
25/02/2024,FIFA 26,Sports,14,43.9,614.6
26/02/2024,COD MW4,Shooter,11,61.12,672.32
27/02/2024,GTA VI,Adventure,14,22.72,318.08
28/02/2024,FIFA 26,Sports,16,57.64,922.24
29/02/2024,FIFA 26,Sports,21,25.05,526.05
01/03/2024,Fortnite,Battle Royale,39,32.04,1249.56
02/03/2024,Elden Ring,RPG,31,23.95,742.45
03/03/2024,FIFA 26,Sports,33,21.68,715.44
04/03/2024,Minecraft,Sandbox,15,27.99,419.85
05/03/2024,FIFA 26,Sports,42,20.4,856.8
06/03/2024,F1 26,Racing,37,66.07,2444.59
07/03/2024,Minecraft,Sandbox,34,28.96,984.64
08/03/2024,Rocket League,Sports,23,54.58,1255.34
09/03/2024,Elden Ring,RPG,22,66.26,1457.72
10/03/2024,GTA VI,Adventure,9,59.11,531.99
11/03/2024,Rocket League,Sports,37,27.31,1010.47
12/03/2024,Fortnite,Battle Royale,44,47.14,2074.16
13/03/2024,Fortnite,Battle Royale,29,65.57,1901.53
14/03/2024,Apex Legends,Shooter,30,21.52,645.6
15/03/2024,GTA VI,Adventure,21,51.15,1074.15
16/03/2024,FIFA 26,Sports,35,26.39,923.65
17/03/2024,COD MW4,Shooter,43,62.15,2672.45
18/03/2024,Apex Legends,Shooter,47,60.74,2854.78
19/03/2024,GTA VI,Adventure,43,65.16,2801.88
20/03/2024,COD MW4,Shooter,25,62.62,1565.5
21/03/2024,GTA VI,Adventure,28,48.97,1371.16
22/03/2024,Minecraft,Sandbox,17,47.7,810.9
23/03/2024,COD MW4,Shooter,2,27.29,54.58
24/03/2024,COD MW4,Shooter,35,68.56,2399.6
25/03/2024,GTA VI,Adventure,45,68.03,3061.35
26/03/2024,Overwatch 3,Shooter,5,59.4,297.0
27/03/2024,Minecraft,Sandbox,14,39.61,554.54
28/03/2024,COD MW4,Shooter,31,41.38,1282.78
29/03/2024,Apex Legends,Shooter,4,38.36,153.44
30/03/2024,Overwatch 3,Shooter,34,55.2,1876.8
31/03/2024,FIFA 26,Sports,14,60.69,849.66
01/04/2024,COD MW4,Shooter,31,39.76,1232.56
02/04/2024,FIFA 26,Sports,48,49.79,2389.92
03/04/2024,Overwatch 3,Shooter,45,25.9,1165.5
04/04/2024,F1 26,Racing,32,52.49,1679.68
05/04/2024,Minecraft,Sandbox,23,69.34,1594.82
06/04/2024,F1 26,Racing,42,44.02,1848.84
07/04/2024,Fortnite,Battle Royale,32,29.84,954.88
08/04/2024,Fortnite,Battle Royale,1,66.17,66.17
09/04/2024,Elden Ring,RPG,13,67.16,873.08
10/04/2024,GTA VI,Adventure,16,20.14,322.24
11/04/2024,GTA VI,Adventure,47,56.66,2663.02
12/04/2024,Elden Ring,RPG,25,45.85,1146.25
13/04/2024,Elden Ring,RPG,9,66.09,594.81
14/04/2024,Apex Legends,Shooter,31,65.95,2044.45
15/04/2024,GTA VI,Adventure,34,29.83,1014.22
16/04/2024,Elden Ring,RPG,20,68.75,1375.0
17/04/2024,F1 26,Racing,38,47.49,1804.62
18/04/2024,F1 26,Racing,20,55.36,1107.2
19/04/2024,Apex Legends,Shooter,12,34.04,408.48
20/04/2024,Minecraft,Sandbox,39,54.19,2113.41
21/04/2024,F1 26,Racing,21,68.76,1443.96
22/04/2024,Rocket League,Sports,30,49.91,1497.3
23/04/2024,Overwatch 3,Shooter,41,26.65,1092.65
24/04/2024,Apex Legends,Shooter,24,41.88,1005.12
25/04/2024,Apex Legends,Shooter,4,30.43,121.72
26/04/2024,Fortnite,Battle Royale,8,29.66,237.28
27/04/2024,Rocket League,Sports,41,50.67,2077.47
28/04/2024,Fortnite,Battle Royale,12,29.4,352.8
29/04/2024,COD MW4,Shooter,18,69.73,1255.14
30/04/2024,Rocket League,Sports,23,53.13,1221.99
01/05/2024,Apex Legends,Shooter,19,28.47,540.93
02/05/2024,GTA VI,Adventure,50,47.64,2382.0
03/05/2024,F1 26,Racing,21,47.66,1000.86
04/05/2024,FIFA 26,Sports,17,34.85,592.45
05/05/2024,COD MW4,Shooter,39,26.77,1044.03
06/05/2024,Overwatch 3,Shooter,16,37.73,603.68
07/05/2024,COD MW4,Shooter,6,20.96,125.76
08/05/2024,Minecraft,Sandbox,33,37.88,1250.04
09/05/2024,COD MW4,Shooter,32,37.32,1194.24
10/05/2024,FIFA 26,Sports,29,68.52,1987.08
11/05/2024,F1 26,Racing,48,31.44,1509.12
12/05/2024,Minecraft,Sandbox,47,51.82,2435.54
13/05/2024,Overwatch 3,Shooter,45,64.48,2901.6
14/05/2024,F1 26,Racing,50,40.8,2040.0
15/05/2024,Elden Ring,RPG,35,34.78,1217.3
16/05/2024,Elden Ring,RPG,3,32.0,96.0
17/05/2024,Rocket League,Sports,41,28.3,1160.3
18/05/2024,F1 26,Racing,24,32.16,771.84
19/05/2024,Minecraft,Sandbox,14,22.28,311.92
20/05/2024,Rocket League,Sports,29,58.01,1682.29
21/05/2024,Minecraft,Sandbox,14,64.67,905.38
22/05/2024,Fortnite,Battle Royale,45,39.57,1780.65
23/05/2024,FIFA 26,Sports,41,25.81,1058.21
24/05/2024,F1 26,Racing,48,41.68,2000.64
25/05/2024,FIFA 26,Sports,14,61.46,860.44
26/05/2024,Overwatch 3,Shooter,21,41.1,863.1
27/05/2024,Apex Legends,Shooter,15,20.49,307.35
28/05/2024,COD MW4,Shooter,17,54.47,925.99
29/05/2024,FIFA 26,Sports,14,31.82,445.48
30/05/2024,Apex Legends,Shooter,39,37.78,1473.42
31/05/2024,Apex Legends,Shooter,43,62.18,2673.74
01/06/2024,Overwatch 3,Shooter,37,68.17,2522.29
02/06/2024,Overwatch 3,Shooter,46,47.07,2165.22
03/06/2024,FIFA 26,Sports,4,20.01,80.04
04/06/2024,Apex Legends,Shooter,16,58.17,930.72
05/06/2024,F1 26,Racing,34,61.27,2083.18
06/06/2024,FIFA 26,Sports,15,40.92,613.8
07/06/2024,Fortnite,Battle Royale,31,45.42,1408.02
08/06/2024,COD MW4,Shooter,30,29.6,888.0
09/06/2024,Minecraft,Sandbox,42,32.11,1348.62
10/06/2024,FIFA 26,Sports,38,54.32,2064.16
11/06/2024,Minecraft,Sandbox,45,63.53,2858.85
12/06/2024,COD MW4,Shooter,12,60.17,722.04
13/06/2024,Rocket League,Sports,36,25.03,901.08
14/06/2024,F1 26,Racing,32,54.28,1736.96
15/06/2024,Apex Legends,Shooter,35,63.07,2207.45
16/06/2024,GTA VI,Adventure,10,22.02,220.2
17/06/2024,Elden Ring,RPG,2,47.48,94.96
18/06/2024,Fortnite,Battle Royale,29,62.75,1819.75
19/06/2024,F1 26,Racing,11,26.75,294.25
20/06/2024,Elden Ring,RPG,3,60.13,180.39
21/06/2024,GTA VI,Adventure,20,65.24,1304.8
22/06/2024,Elden Ring,RPG,36,37.95,1366.2
23/06/2024,GTA VI,Adventure,37,38.72,1432.64
24/06/2024,Overwatch 3,Shooter,28,58.5,1638.0
25/06/2024,Fortnite,Battle Royale,32,33.53,1072.96
26/06/2024,Overwatch 3,Shooter,19,69.57,1321.83
27/06/2024,Elden Ring,RPG,44,20.14,886.16
28/06/2024,Fortnite,Battle Royale,5,30.98,154.9
29/06/2024,GTA VI,Adventure,46,57.68,2653.28
30/06/2024,FIFA 26,Sports,37,59.54,2202.98
01/07/2024,COD MW4,Shooter,16,38.03,608.48
02/07/2024,Rocket League,Sports,19,57.97,1101.43
03/07/2024,FIFA 26,Sports,20,35.82,716.4
04/07/2024,GTA VI,Adventure,37,62.69,2319.53
05/07/2024,Minecraft,Sandbox,31,67.99,2107.69
06/07/2024,GTA VI,Adventure,1,52.72,52.72
07/07/2024,F1 26,Racing,33,65.33,2155.89
08/07/2024,F1 26,Racing,31,47.42,1470.02
09/07/2024,Fortnite,Battle Royale,44,20.65,908.6
10/07/2024,Apex Legends,Shooter,46,39.23,1804.58
11/07/2024,Minecraft,Sandbox,49,24.16,1183.84
12/07/2024,Minecraft,Sandbox,33,28.95,955.35
13/07/2024,Elden Ring,RPG,24,58.88,1413.12
14/07/2024,Minecraft,Sandbox,6,26.05,156.3
15/07/2024,Fortnite,Battle Royale,10,66.38,663.8
16/07/2024,Fortnite,Battle Royale,4,59.64,238.56
17/07/2024,Apex Legends,Shooter,25,66.3,1657.5
18/07/2024,Elden Ring,RPG,15,54.82,822.3
19/07/2024,COD MW4,Shooter,49,55.69,2728.81
20/07/2024,COD MW4,Shooter,10,55.76,557.6
21/07/2024,Rocket League,Sports,40,29.42,1176.8
22/07/2024,GTA VI,Adventure,7,68.63,480.41
23/07/2024,COD MW4,Shooter,23,37.09,853.07
24/07/2024,Overwatch 3,Shooter,33,69.68,2299.44
25/07/2024,Fortnite,Battle Royale,13,49.6,644.8
26/07/2024,Minecraft,Sandbox,2,32.46,64.92
27/07/2024,Minecraft,Sandbox,11,52.74,580.14
28/07/2024,Overwatch 3,Shooter,7,41.66,291.62
29/07/2024,Fortnite,Battle Royale,37,65.6,2427.2
30/07/2024,Fortnite,Battle Royale,1,35.97,35.97
31/07/2024,Fortnite,Battle Royale,39,63.15,2462.85
01/08/2024,Overwatch 3,Shooter,46,23.09,1062.14
02/08/2024,Rocket League,Sports,37,68.33,2528.21
03/08/2024,Elden Ring,RPG,1,57.71,57.71
04/08/2024,Apex Legends,Shooter,49,67.11,3288.39
05/08/2024,Minecraft,Sandbox,26,51.66,1343.16
06/08/2024,Fortnite,Battle Royale,41,36.88,1512.08
07/08/2024,FIFA 26,Sports,50,50.75,2537.5
08/08/2024,GTA VI,Adventure,12,22.24,266.88
09/08/2024,Elden Ring,RPG,49,36.48,1787.52
10/08/2024,GTA VI,Adventure,38,41.24,1567.12
11/08/2024,FIFA 26,Sports,25,22.41,560.25
12/08/2024,F1 26,Racing,28,34.34,961.52
13/08/2024,Fortnite,Battle Royale,14,53.45,748.3
14/08/2024,Rocket League,Sports,32,51.86,1659.52
15/08/2024,COD MW4,Shooter,40,23.16,926.4
16/08/2024,Fortnite,Battle Royale,14,58.51,819.14
17/08/2024,FIFA 26,Sports,14,68.02,952.28
18/08/2024,Fortnite,Battle Royale,46,26.8,1232.8
19/08/2024,FIFA 26,Sports,31,54.15,1678.65
20/08/2024,GTA VI,Adventure,1,39.74,39.74
21/08/2024,COD MW4,Shooter,45,34.63,1558.35
22/08/2024,Minecraft,Sandbox,45,40.51,1822.95
23/08/2024,Elden Ring,RPG,19,31.33,595.27
24/08/2024,Apex Legends,Shooter,30,49.08,1472.4
25/08/2024,GTA VI,Adventure,21,49.53,1040.13
26/08/2024,F1 26,Racing,41,61.18,2508.38
27/08/2024,Apex Legends,Shooter,22,59.27,1303.94
28/08/2024,Overwatch 3,Shooter,43,21.17,910.31
29/08/2024,Elden Ring,RPG,28,37.31,1044.68
30/08/2024,F1 26,Racing,14,64.26,899.64
31/08/2024,FIFA 26,Sports,1,32.88,32.88
01/09/2024,COD MW4,Shooter,13,51.18,665.34
02/09/2024,FIFA 26,Sports,12,32.68,392.16
03/09/2024,Rocket League,Sports,1,36.01,36.01
04/09/2024,F1 26,Racing,7,61.97,433.79
05/09/2024,FIFA 26,Sports,8,39.71,317.68
06/09/2024,Elden Ring,RPG,33,50.43,1664.19
07/09/2024,Overwatch 3,Shooter,22,47.56,1046.32
08/09/2024,Rocket League,Sports,24,66.33,1591.92
09/09/2024,F1 26,Racing,9,57.48,517.32
10/09/2024,Minecraft,Sandbox,37,39.34,1455.58
11/09/2024,Elden Ring,RPG,14,59.7,835.8
12/09/2024,GTA VI,Adventure,17,53.64,911.88
13/09/2024,FIFA 26,Sports,4,62.9,251.6
14/09/2024,Minecraft,Sandbox,48,40.89,1962.72
15/09/2024,Apex Legends,Shooter,39,29.71,1158.69
16/09/2024,GTA VI,Adventure,49,60.7,2974.3
17/09/2024,Overwatch 3,Shooter,13,28.41,369.33
18/09/2024,COD MW4,Shooter,5,22.58,112.9
19/09/2024,Rocket League,Sports,5,48.48,242.4
20/09/2024,Rocket League,Sports,47,31.61,1485.67
21/09/2024,Apex Legends,Shooter,29,67.72,1963.88
22/09/2024,GTA VI,Adventure,12,41.96,503.52
23/09/2024,Fortnite,Battle Royale,30,48.46,1453.8
24/09/2024,Rocket League,Sports,35,63.6,2226.0
25/09/2024,Elden Ring,RPG,27,46.25,1248.75
26/09/2024,Elden Ring,RPG,46,31.61,1454.06
27/09/2024,Minecraft,Sandbox,48,67.58,3243.84
28/09/2024,Minecraft,Sandbox,17,34.91,593.47
29/09/2024,COD MW4,Shooter,46,50.2,2309.2
30/09/2024,Rocket League,Sports,10,24.79,247.9
01/10/2024,F1 26,Racing,26,21.81,567.06
02/10/2024,GTA VI,Adventure,43,61.69,2652.67
03/10/2024,FIFA 26,Sports,30,60.09,1802.7
04/10/2024,Apex Legends,Shooter,41,51.48,2110.68
05/10/2024,Overwatch 3,Shooter,42,56.85,2387.7
06/10/2024,F1 26,Racing,20,50.85,1017.0
07/10/2024,Overwatch 3,Shooter,25,58.36,1459.0
08/10/2024,Apex Legends,Shooter,50,20.6,1030.0
09/10/2024,Apex Legends,Shooter,41,58.88,2414.08
10/10/2024,Rocket League,Sports,20,24.21,484.2
11/10/2024,F1 26,Racing,6,21.75,130.5
12/10/2024,Fortnite,Battle Royale,41,44.3,1816.3
13/10/2024,Minecraft,Sandbox,46,47.63,2190.98
14/10/2024,COD MW4,Shooter,16,41.27,660.32
15/10/2024,FIFA 26,Sports,31,68.26,2116.06
16/10/2024,GTA VI,Adventure,1,42.17,42.17
17/10/2024,F1 26,Racing,11,36.69,403.59
18/10/2024,COD MW4,Shooter,2,53.9,107.8
19/10/2024,Minecraft,Sandbox,4,35.42,141.68
20/10/2024,Rocket League,Sports,31,45.81,1420.11
21/10/2024,Rocket League,Sports,15,65.95,989.25
22/10/2024,COD MW4,Shooter,22,33.39,734.58
23/10/2024,Minecraft,Sandbox,13,40.48,526.24
24/10/2024,Fortnite,Battle Royale,37,42.46,1571.02
25/10/2024,GTA VI,Adventure,6,67.43,404.58
26/10/2024,Rocket League,Sports,5,48.56,242.8
